playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary,ppdollar,overallRank
2560835,Rashaad Penny,SEA,RB,23,1,11,5.39084884,4.11804,6.541971173,1.285953711,58,0.530748075,11,2.423931173,NA,48.3,4.8,4.398520805,NA,5100,0.001057029,NA
2562712,Hunter Renfrow,OAK,WR,49,0,6,5.260331522,3.667226528,6.297598972,1.166206754,79,0.061005362,8,2.630372445,NA,84.3,6.5,4.011410977,NA,4500,0.001168963,NA
2552382,Malcolm Brown,LAR,RB,26,4,9,5.252805477,3.30488,6.926936884,1.703558884,60,0.912262084,11,3.622056884,NA,40.5,5.1,4.578066834,NA,5500,0.000955056,NA
2556460,Geronimo Allison,GB,WR,25,3,11,5.239769913,3.481266766,6.261262099,1.263369677,80,0.200410195,8,2.779995333,NA,62.9,9.7,5.332281488,NA,5100,0.001027406,NA
2505629,Jason Witten,DAL,TE,37,16,8,5.229877155,3.792526882,6.137427674,1.155761009,20,0.19470367,6,2.344900792,NA,24.7,3,3.421843584,NA,4700,0.00111274,NA
2561002,DaeSean Hamilton,DEN,WR,24,1,10,5.158882408,4.285977058,5.952828164,0.903653745,81,0.252709519,8,1.666851106,NA,75.3,6.6,4.05268818,NA,5600,0.000921229,NA
2540232,Jack Doyle,IND,TE,29,6,6,5.074848791,4.062017515,5.674390592,0.801009427,21,0.508224687,7,1.612373077,NA,22,3.8,3.910352879,NA,5400,0.000939787,NA
100026,Cardinals,ARI,DST,NA,NA,12,5.036610469,3.28,5.633871851,1.163236481,30,3.008540666,6,2.353871851,NA,NA,NA,5.851070764,NA,3000,0.00167887,NA
2562383,Noah Fant,DEN,TE,49,0,10,4.995498179,3.976741935,5.423131859,0.612759039,22,0.886790353,7,1.446389924,NA,22.1,3.5,3.727161894,NA,5200,0.000960673,NA
497328,Demaryius Thomas,NYJ,WR,32,9,4,4.919837028,3.577075269,6.02791003,1.601032525,82,0.034888902,8,2.450834762,NA,98.8,12.4,6.446765982,NA,4700,0.001046774,NA
2562805,Preston Williams,MIA,WR,49,0,5,4.892508751,3.256875377,6.192231254,1.457390939,83,0.044558687,8,2.935355877,NA,70.5,9.7,5.332281488,NA,4800,0.001019273,NA
2561029,Keke Coutee,HOU,WR,22,1,10,4.8773875,3.456101197,5.931685939,1.114146762,84,0.064079987,9,2.475584742,NA,79.8,10.4,5.621221912,NA,5400,0.00090322,NA
2555478,Demarcus Robinson,KC,WR,NA,3,12,4.818512628,4.150580905,5.261649421,0.535253526,85,0.101422382,9,1.111068517,NA,77.3,9.9,5.414835895,NA,5200,0.000926637,NA
2540202,Kenny Stills,HOU,WR,27,6,10,4.808102397,3.664773472,5.696340552,1.0661295,86,0.189838943,9,2.03156708,NA,67.3,9.8,5.373558692,NA,5300,0.000907189,NA
2562721,Deebo Samuel,SF,WR,49,0,4,4.626078096,2.391905528,6.150842308,1.618476351,87,0.037411229,9,3.75893678,NA,66.8,8.5,4.836955046,NA,4900,0.000944098,NA
2552424,Phillip Dorsett,NE,WR,26,4,10,4.610448812,2.350424121,7.326295243,2.586123178,88,0.094719204,9,4.975871123,NA,79.6,10.4,5.621221912,NA,4700,0.000980947,NA
2543759,Ryan Grant,GB,WR,29,5,11,4.566884921,3.352314573,5.202998758,0.882769519,89,0.111968741,9,1.850684185,NA,89.7,9,5.043341064,NA,4500,0.001014863,NA
2557952,Wayne Gallman,NYG,RB,25,2,11,4.467396053,3.542,4.895268145,0.555219878,61,0.307798695,12,1.353268145,NA,68.3,2.9,3.26139596,NA,4500,0.000992755,NA
2560810,Anthony Miller,CHI,WR,25,1,6,4.464574295,2.20120804,6.128495349,1.81568566,90,0.062140468,9,3.927287309,NA,70.9,13.8,7.024646831,NA,5200,0.000858572,NA
2541966,Jaron Brown,SEA,WR,29,6,11,4.445258065,3.503,5.022858696,1.347038418,91,0.120136698,9,1.519858696,NA,95.4,7.3,4.341628604,NA,4500,0.000987835,NA
2550597,Seth Roberts,BAL,WR,NA,NA,8,4.359609591,2.369,6.333021703,2.276765728,92,0.084907957,9,3.964021703,NA,119.3,12.3,6.405488779,NA,4500,0.000968802,NA
2550353,Allen Hurns,MIA,WR,28,5,5,4.290633143,1.671653266,5.304232974,1.745397934,93,0.197313896,9,3.632579708,NA,98.4,14.4,7.272310052,NA,4500,0.000953474,NA
